2025-07-02 11:28:17,050 - ModelingPipeline - INFO - 모델링 파이프라인이 초기화되었습니다.
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 실행 이름: default_modeling_run_20250702_112817
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 출력 경로: /Users/jojongho/KDT/P2_Default-invest/outputs/modeling_runs/default_modeling_run_20250702_112817
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - === 모델링 파이프라인 시작 ===
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 데이터 로드 시작
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 오버라이드된 데이터 경로 사용: data/final
2025-07-02 11:28:17,122 - ModelingPipeline - INFO - Train: (10745, 33), 부실비율: 0.58%
2025-07-02 11:28:20,143 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,143 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,149 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,149 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,155 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,156 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,167 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,167 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,174 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,174 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
